"coord1" "coord2" "coord1.norm" "coord2.norm" "spotID" "histology" "histology_color"
"ST114" 15 23 0.870714285714286 1.12653846153846 "ST114" "Interstitium" "green"
"ST115" 15 24 0.870714285714286 1.19769230769231 "ST115" "Normal pancreatic tissue" "blue"
"ST116" 15 25 0.870714285714286 1.26884615384615 "ST116" "Normal pancreatic tissue" "blue"
"ST117" 15 26 0.870714285714286 1.34 "ST117" "Normal pancreatic tissue" "blue"
"ST118" 15 27 0.870714285714286 1.41115384615385 "ST118" "Normal pancreatic tissue" "blue"
"ST119" 15 28 0.870714285714286 1.48230769230769 "ST119" "Cancer cells and desmoplasia" "red"
"ST120" 15 29 0.870714285714286 1.55346153846154 "ST120" "Cancer cells and desmoplasia" "red"
"ST121" 15 30 0.870714285714286 1.62461538461538 "ST121" "Cancer cells and desmoplasia" "red"
"ST122" 15 31 0.870714285714286 1.69576923076923 "ST122" "Cancer cells and desmoplasia" "red"
"ST123" 15 32 0.870714285714286 1.76692307692308 "ST123" "Cancer cells and desmoplasia" "red"
"ST124" 15 33 0.870714285714286 1.83807692307692 "ST124" "Cancer cells and desmoplasia" "red"
"ST125" 15 34 0.870714285714286 1.90923076923077 "ST125" "Cancer cells and desmoplasia" "red"
"ST126" 16 13 0.931428571428571 0.415 "ST126" "Normal pancreatic tissue" "blue"
"ST127" 16 14 0.931428571428571 0.486153846153846 "ST127" "Normal pancreatic tissue" "blue"
"ST128" 16 15 0.931428571428571 0.557307692307692 "ST128" "Normal pancreatic tissue" "blue"
"ST129" 16 16 0.931428571428571 0.628461538461538 "ST129" "Normal pancreatic tissue" "blue"
"ST130" 16 17 0.931428571428571 0.699615384615385 "ST130" "Normal pancreatic tissue" "blue"
"ST131" 16 18 0.931428571428571 0.770769230769231 "ST131" "Normal pancreatic tissue" "blue"
"ST132" 16 19 0.931428571428571 0.841923076923077 "ST132" "Interstitium" "green"
"ST133" 16 20 0.931428571428571 0.913076923076923 "ST133" "Interstitium" "green"
"ST134" 16 21 0.931428571428571 0.984230769230769 "ST134" "Interstitium" "green"
"ST135" 16 22 0.931428571428571 1.05538461538462 "ST135" "Interstitium" "green"
"ST136" 16 23 0.931428571428571 1.12653846153846 "ST136" "Interstitium" "green"
"ST137" 16 24 0.931428571428571 1.19769230769231 "ST137" "Normal pancreatic tissue" "blue"
"ST138" 16 25 0.931428571428571 1.26884615384615 "ST138" "Normal pancreatic tissue" "blue"
"ST139" 16 26 0.931428571428571 1.34 "ST139" "Normal pancreatic tissue" "blue"
"ST140" 16 27 0.931428571428571 1.41115384615385 "ST140" "Normal pancreatic tissue" "blue"
"ST141" 16 28 0.931428571428571 1.48230769230769 "ST141" "Cancer cells and desmoplasia" "red"
"ST142" 16 30 0.931428571428571 1.62461538461538 "ST142" "Cancer cells and desmoplasia" "red"
"ST143" 16 31 0.931428571428571 1.69576923076923 "ST143" "Cancer cells and desmoplasia" "red"
"ST144" 16 32 0.931428571428571 1.76692307692308 "ST144" "Cancer cells and desmoplasia" "red"
"ST145" 16 33 0.931428571428571 1.83807692307692 "ST145" "Cancer cells and desmoplasia" "red"
"ST146" 16 34 0.931428571428571 1.90923076923077 "ST146" "Cancer cells and desmoplasia" "red"
"ST147" 17 13 0.992142857142857 0.415 "ST147" "Normal pancreatic tissue" "blue"
"ST148" 17 14 0.992142857142857 0.486153846153846 "ST148" "Normal pancreatic tissue" "blue"
"ST149" 17 15 0.992142857142857 0.557307692307692 "ST149" "Normal pancreatic tissue" "blue"
"ST150" 17 16 0.992142857142857 0.628461538461538 "ST150" "Normal pancreatic tissue" "blue"
"ST151" 17 17 0.992142857142857 0.699615384615385 "ST151" "Normal pancreatic tissue" "blue"
"ST152" 17 18 0.992142857142857 0.770769230769231 "ST152" "Normal pancreatic tissue" "blue"
"ST153" 17 19 0.992142857142857 0.841923076923077 "ST153" "Interstitium" "green"
"ST154" 17 20 0.992142857142857 0.913076923076923 "ST154" "Interstitium" "green"
"ST155" 17 21 0.992142857142857 0.984230769230769 "ST155" "Interstitium" "green"
"ST156" 17 22 0.992142857142857 1.05538461538462 "ST156" "Normal pancreatic tissue" "blue"
"ST157" 17 23 0.992142857142857 1.12653846153846 "ST157" "Normal pancreatic tissue" "blue"
"ST158" 17 24 0.992142857142857 1.19769230769231 "ST158" "Interstitium" "green"
"ST159" 17 25 0.992142857142857 1.26884615384615 "ST159" "Interstitium" "green"
"ST160" 17 26 0.992142857142857 1.34 "ST160" "Normal pancreatic tissue" "blue"
"ST161" 17 28 0.992142857142857 1.48230769230769 "ST161" "Cancer cells and desmoplasia" "red"
"ST162" 17 29 0.992142857142857 1.55346153846154 "ST162" "Cancer cells and desmoplasia" "red"
"ST163" 17 30 0.992142857142857 1.62461538461538 "ST163" "Cancer cells and desmoplasia" "red"
"ST164" 17 31 0.992142857142857 1.69576923076923 "ST164" "Cancer cells and desmoplasia" "red"
"ST165" 17 32 0.992142857142857 1.76692307692308 "ST165" "Cancer cells and desmoplasia" "red"
"ST166" 17 33 0.992142857142857 1.83807692307692 "ST166" "Cancer cells and desmoplasia" "red"
"ST167" 17 34 0.992142857142857 1.90923076923077 "ST167" "Cancer cells and desmoplasia" "red"
"ST168" 18 13 1.05285714285714 0.415 "ST168" "Normal pancreatic tissue" "blue"
"ST169" 18 14 1.05285714285714 0.486153846153846 "ST169" "Interstitium" "green"
"ST170" 18 15 1.05285714285714 0.557307692307692 "ST170" "Interstitium" "green"
"ST171" 18 16 1.05285714285714 0.628461538461538 "ST171" "Interstitium" "green"
"ST172" 18 17 1.05285714285714 0.699615384615385 "ST172" "Normal pancreatic tissue" "blue"
"ST173" 18 18 1.05285714285714 0.770769230769231 "ST173" "Normal pancreatic tissue" "blue"
"ST174" 18 19 1.05285714285714 0.841923076923077 "ST174" "Normal pancreatic tissue" "blue"
"ST175" 18 20 1.05285714285714 0.913076923076923 "ST175" "Interstitium" "green"
"ST176" 18 21 1.05285714285714 0.984230769230769 "ST176" "Interstitium" "green"
"ST177" 18 22 1.05285714285714 1.05538461538462 "ST177" "Normal pancreatic tissue" "blue"
"ST178" 18 23 1.05285714285714 1.12653846153846 "ST178" "Normal pancreatic tissue" "blue"
"ST179" 18 24 1.05285714285714 1.19769230769231 "ST179" "Normal pancreatic tissue" "blue"
"ST180" 18 25 1.05285714285714 1.26884615384615 "ST180" "Interstitium" "green"
"ST181" 18 26 1.05285714285714 1.34 "ST181" "Interstitium" "green"
"ST182" 18 28 1.05285714285714 1.48230769230769 "ST182" "Interstitium" "green"
"ST183" 18 29 1.05285714285714 1.55346153846154 "ST183" "Cancer cells and desmoplasia" "red"
"ST184" 18 30 1.05285714285714 1.62461538461538 "ST184" "Cancer cells and desmoplasia" "red"
"ST185" 18 31 1.05285714285714 1.69576923076923 "ST185" "Cancer cells and desmoplasia" "red"
"ST186" 18 32 1.05285714285714 1.76692307692308 "ST186" "Cancer cells and desmoplasia" "red"
